[1777833139] ALLOWED | git ["add", "."]
[1777882039] BLOCKED | rm ["C:\\Windows\\System32"]
[1777907554] ALLOWED | jail ["ls", ".."]
[1777907780] ALLOWED | jail ["ls", ".."]
[1777907788] ALLOWED | jail ["ls"]
[1777907792] ALLOWED | ls []
[1777907800] ALLOWED | wexit []
[1777909120] ALLOWED | export ["MY_VAR=OxideShell"]
[1777909183] ALLOWED | fn ["greet(name)"]
[1777909200] ALLOWED | echo ["Hi "]
[1777909334] ALLOWED | export ["MY_VAR=OxideShell"]
[1777909769] ALLOWED | export ["MY_VAR=OxideShell"]
[1777909775] ALLOWED | echo ["Hi "]
[1777909901] ALLOWED | echo ["Hi "]
[1777909909] ALLOWED | echo ["Hi OxideShell"]
[1777910012] ALLOWED | EXIT []
[1777916508] ALLOWED | runtime.stdlib.call( ["math_add", ",", "vec![", "10", ",", "20", "])"]
[1777917219] ALLOWED | call ["math_add", "10", "20"]
[1777917317] ALLOWED | help []
[1777917441] ALLOWED | jail ["call", "math_add", "1", "1"]
[1777917451] ALLOWED | call ["math_add", "1", "1"]
[1777917566] ALLOWED | call ["math_add", "1", "1"]
[1777917569] ALLOWED | jail ["call", "math_add", "1", "1"]
[1777917569] ALLOWED | call ["math_add", "1", "1"]
[1777918161] ALLOWED | hi []
[1777918525] ALLOWED | shifa []
[1777919123] ALLOWED | refresh []
[1777919132] ALLOWED | clear []
[1777919261] ALLOWED | refresh []
[1777927439] ALLOWED | help []
[1777927462] ALLOWED | help ["help"]
[1777927467] ALLOWED | help ["jail"]
[1777927507] ALLOWED | help []
